,Unnamed: 0,AC_AREA,CLOUD_SCORE,COVERAGE_SCORE,Country,DATE,DGO_FID,ID_AOI_all,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,MEAN_WATER_MNDWI,POI_ID,SCALE,VEGETATION_AREA,VEGETATION_PERIMETER,VEGETATION_POLYGONS,VEGETATION_POLYGONS_p0,VEGETATION_POLYGONS_p10,VEGETATION_POLYGONS_p100,VEGETATION_POLYGONS_p20,VEGETATION_POLYGONS_p30,VEGETATION_POLYGONS_p40,VEGETATION_POLYGONS_p50,VEGETATION_POLYGONS_p60,VEGETATION_POLYGONS_p70,VEGETATION_POLYGONS_p80,VEGETATION_POLYGONS_p90,WATER_AREA,WATER_PERIMETER,WATER_POLYGONS,WATER_POLYGONS_p0,WATER_POLYGONS_p10,WATER_POLYGONS_p100,WATER_POLYGONS_p20,WATER_POLYGONS_p30,WATER_POLYGONS_p40,WATER_POLYGONS_p50,WATER_POLYGONS_p60,WATER_POLYGONS_p70,WATER_POLYGONS_p80,WATER_POLYGONS_p90,length
0,0,911.0,0.0,100.0,FRA,2020-01-02,FRA36,100FRA,-0.0115597780739947,0.0725019066118118,-0.1612386779229604,0.2032353260765865,-0.2806036584164741,0.3189927523346014,0.0290384042415824,FRA36,10,992.0,4047.5034362427546,4,18.0,18.0,475.0,18.0,205.0,205.0,249.5,294.0,294.0,475.0,475.0,856.0,2855.030268577539,1,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0,820
1,1,901.0,0.0,100.0,FRA,2020-01-02,FRA36,100FRA,0.0014572602755155,0.0689352992189873,-0.1526245109503545,0.201161108930293,-0.2813726378194272,0.3214864176736778,0.0392263948300864,FRA36,10,963.0,3992.63286416621,4,17.0,17.0,462.0,17.0,204.0,204.0,242.0,280.0,280.0,462.0,462.0,869.0,2838.369442230708,1,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,869.0,820
2,2,689.0,0.0,100.0,FRA,2020-01-12,FRA36,100FRA,-0.1059403606504752,0.0561650265242881,-0.2632309923413659,0.2632045699880824,-0.354575132230803,0.3833946886919437,-0.0926819406545032,FRA36,10,1131.0,4013.2696068150567,3,19.0,19.0,638.0,19.0,19.0,474.0,474.0,474.0,638.0,638.0,638.0,657.0,2902.965379909277,1,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,820
3,3,783.0,0.0,100.0,FRA,2020-01-25,FRA36,100FRA,-0.1383387272018468,0.077381929416954,-0.3046333672647019,0.20834281219091,-0.4288867097672876,0.3043762080381565,-0.0749300075506983,FRA36,10,1049.0,3911.7227635623135,4,8.0,8.0,419.0,8.0,257.0,257.0,311.0,365.0,365.0,419.0,419.0,458.0,2057.922251495127,1,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,820
4,4,792.0,0.0,100.0,FRA,2020-01-25,FRA36,100FRA,-0.1293852095170725,0.0823587805022177,-0.284339113118817,0.2064780365432918,-0.4001832750424349,0.2990685294618475,-0.0683825988899231,FRA36,10,1042.0,3876.923813734007,4,6.0,6.0,423.0,6.0,255.0,255.0,306.5,358.0,358.0,423.0,423.0,462.0,2048.1560764181177,1,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,820
5,5,835.0,0.0,100.0,FRA,2020-01-27,FRA36,100FRA,-0.1134923639714926,0.1030194124633775,-0.2321017774207593,0.2014370180986009,-0.324665523106032,0.276371828059566,-0.0297066254134546,FRA36,10,1060.0,3952.3734950082608,4,10.0,10.0,466.0,10.0,256.0,256.0,292.0,328.0,328.0,466.0,466.0,299.0,1890.27425200297,3,26.0,26.0,213.0,26.0,26.0,60.0,60.0,60.0,213.0,213.0,213.0,820
6,6,902.0,0.0,100.0,FRA,2020-01-30,FRA36,100FRA,-0.1530406560316655,0.0773423984090595,-0.289998660881909,0.1861164469661896,-0.4137956775178302,0.2857355923506116,-0.0934946015547703,FRA36,10,981.0,3880.762360906196,4,4.0,4.0,425.0,4.0,248.0,248.0,276.0,304.0,304.0,425.0,425.0,550.0,2108.2229537276885,1,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,820
7,7,925.0,0.0,100.0,FRA,2020-01-30,FRA36,100FRA,-0.1413383456137931,0.079830932154745,-0.274370939373243,0.1832684563669223,-0.3994645384593384,0.2833332926000448,-0.084314325453348,FRA36,10,967.0,3842.49242439324,4,5.0,5.0,427.0,5.0,245.0,245.0,267.5,290.0,290.0,427.0,427.0,569.0,2113.912616769447,1,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,820
8,8,766.0,0.0,100.0,FRA,2020-02-04,FRA36,100FRA,-0.1285213417472155,0.0595197212934787,-0.3603816699041314,0.2311076913789769,-0.5292635392366406,0.3535581510482088,-0.0430455665714514,FRA36,10,1046.0,3908.63973192468,4,6.0,6.0,421.0,6.0,265.0,265.0,309.5,354.0,354.0,421.0,421.0,429.0,2055.354886826008,1,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,820
9,9,769.0,0.0,100.0,FRA,2020-02-04,FRA36,100FRA,-0.1209670226085366,0.0605573195320347,-0.3427888639138094,0.2278544361078057,-0.50446902401045,0.3470388764127505,-0.0427980149459747,FRA36,10,1051.0,3928.669417359103,4,8.0,8.0,426.0,8.0,267.0,267.0,308.5,350.0,350.0,426.0,426.0,447.0,2006.354197104436,1,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,820
