ID_POI,ID_station,country,ID_combi,length.x,DGO_FID,length.y
CHL2,CHL_5200001,CHL,CHL2_5200001,805,CHL2,805
CHL7,CHL_7123001,CHL,CHL7_7123001,5900,CHL7,5900
CHL10,CHL_7351001,CHL,CHL10_7351001,2275,CHL10,2275
CHL14,CHL_8380006,CHL,CHL14_8380006,5310,CHL14,5310
CHL14,CHL_8380001,CHL,CHL14_8380001,5310,CHL14,5310
NZL14,NZL_68526,NZL,NZL14_68526,2860,NZL14,4060
NZL14,NZL_68526,NZL,NZL14_68526,4060,NZL14,4060
NZL19,NZL_23150,NZL,NZL19_23150,1570,NZL19,1570
NZL29,NZL_86802,NZL,NZL29_86802,5800,NZL29,5800
NZL35,NZL_90612,NZL,NZL35_90612,4445,NZL35,4445
NZL35,NZL_90612,NZL,NZL35_90612,2655,NZL35,4445
FRA6,FRA_W1000002,FRA,FRA6_W1000002,615,FRA6,615
FRA11,FRA_W2022030,FRA,FRA11_W2022030,1000,FRA11,1000
FRA_13,FRA_W2002021,FRA,FRA13_W2002021,NA,NA,NA
FRA_13,FRA_W2002010,FRA,FRA13_W2002010,NA,NA,NA
FRA53,FRA_X0434010,FRA,FRA53_X0434010,730,FRA53,730
FRA50,FRA_X2002030,FRA,FRA50_X2002030,745,FRA50,745
FRA36,FRA_Y6012010,FRA,FRA36_Y6012010,820,FRA36,820
FRA38,FRA_X2032010,FRA,FRA38_X2032010,1435,FRA38,1435
FRA22,FRA_X2305010,FRA,FRA22_X2305010,1005,FRA22,1005
FRA5,FRA_X1440004,FRA,FRA5_X1440004,1165,FRA5,1165
FRA4,FRA_X1420001,FRA,FRA4_X1420001,900,FRA4,900
FRA47,FRA_X1250002,FRA,FRA47_X1250002,890,FRA47,890
FRA35,FRA_X1120005,FRA,FRA35_X1120005,580,FRA35,580
FRA35,FRA_X1120003,FRA,FRA35_X1120003,580,FRA35,580
FRA21,FRA_X1100003,FRA,FRA21_X1100003,830,FRA21,830
FRA30,FRA_X0710004,FRA,FRA30_X0710004,810,FRA30,810
FRA42,FRA_X1040003,FRA,FRA42_X1040003,1285,FRA42,1285
FRA28,FRA_X1026915,FRA,FRA28_X1026915,585,FRA28,585
FRA15,FRA_V4214010,FRA,FRA15_V4214010,530,FRA15,530
FRA51,FRA_V4225010,FRA,FRA51_V4225010,765,FRA51,765
FRA45,FRA_V4445030,FRA,FRA45_V4445030,865,FRA45,865
FRA24,FRA_V5214020,FRA,FRA24_V5214020,435,FRA24,435
FRA26,FRA_V6052010,FRA,FRA26_V6052010,720,FRA26,720
FRA26,FRA_V6042010,FRA,FRA26_V6042010,720,FRA26,720
FRA46,FRA_V5354010,FRA,FRA46_V5354010,920,FRA46,920
FRA52,FRA_X3310020,FRA,FRA52_X3310020,3070,FRA52,3070
FRA1,FRA_V5014010,FRA,FRA1_V5014010,1210,FRA1,1210
